,Members,Recommendation
0,"[1165352, 668454, 838185, 1056891, 578645, 950979, 886998, 587264, 1204119, 1272203]","[692024, 579894, 27261, 311691, 508864]"
1,"[549231, 583914, 941975, 294558, 803135, 996622, 28192, 650948, 1258807, 208146]","[853314, 308908, 864097, 901476, 1032156]"
2,"[410122, 277505, 692599, 783536, 1420225, 554592, 1065433, 1234846, 309599, 393119]","[543918, 615880, 228396, 317252, 784650]"
3,"[192178, 850445, 439070, 1340921, 473967, 132765, 96572, 298605, 723465, 319164]","[1042869, 282364, 545615, 481315, 260713]"
4,"[988920, 485759, 481324, 1294945, 669787, 1060801, 336972, 233500, 1126576, 592514]","[156859, 263136, 940871, 1047376, 1040817]"
5,"[1360918, 1195068, 791001, 1132744, 1124402, 65607, 859680, 1225154, 341123, 410014]","[338737, 1055575, 184546, 284141, 297510]"
6,"[1249010, 643384, 448742, 187074, 588976, 272075, 234345, 1223295, 1438114, 1093026]","[78579, 1040827, 1074185, 44194, 72524]"
7,"[1187753, 440304, 928954, 1082928, 142184, 1183032, 4359, 867121, 282295, 228502]","[451, 929404, 473965, 582118, 307079]"
8,"[172933, 1217103, 1430857, 1074051, 1020507, 1154837, 1284681, 96344, 1409797, 228102]","[1076994, 208481, 521315, 908559, 867261]"
9,"[1174914, 755837, 1176363, 286772, 478643, 1464441, 438088, 319398, 1076384, 735299]","[201609, 980270, 25864, 165696, 195193]"
10,"[1407906, 1411975, 30515, 183303, 1316561, 1410789, 1277462, 1159365, 1328243, 950281]","[138899, 642069, 498614, 334056, 16603]"
11,"[770158, 293849, 854546, 1261541, 263741, 1425216, 942867, 1276372, 1246176, 1367644]","[815829, 491828, 372642, 42836, 772055]"
12,"[657081, 1364840, 1271542, 90350, 873142, 759146, 931896, 1040584, 627548, 1318374]","[1056115, 631345, 60882, 944799, 327473]"
13,"[72227, 465952, 1419466, 131328, 717163, 1464593, 210094, 867440, 951325, 832110]","[630608, 278820, 30809, 611376, 332844]"
14,"[705533, 827635, 1061909, 649495, 197786, 1240099, 1270525, 44697, 321563, 1364213]","[572443, 578960, 267691, 47351, 540175]"
