,Users
0,"[1165352, 668454, 838185, 1056891, 578645, 950979, 886998, 587264, 1204119, 1272203]"
1,"[549231, 583914, 941975, 294558, 803135, 996622, 28192, 650948, 1258807, 208146]"
2,"[410122, 277505, 692599, 783536, 1420225, 554592, 1065433, 1234846, 309599, 393119]"
3,"[192178, 850445, 439070, 1340921, 473967, 132765, 96572, 298605, 723465, 319164]"
4,"[988920, 485759, 481324, 1294945, 669787, 1060801, 336972, 233500, 1126576, 592514]"
5,"[1360918, 1195068, 791001, 1132744, 1124402, 65607, 859680, 1225154, 341123, 410014]"
6,"[1249010, 643384, 448742, 187074, 588976, 272075, 234345, 1223295, 1438114, 1093026]"
7,"[1187753, 440304, 928954, 1082928, 142184, 1183032, 4359, 867121, 282295, 228502]"
8,"[172933, 1217103, 1430857, 1074051, 1020507, 1154837, 1284681, 96344, 1409797, 228102]"
9,"[1174914, 755837, 1176363, 286772, 478643, 1464441, 438088, 319398, 1076384, 735299]"
10,"[1407906, 1411975, 30515, 183303, 1316561, 1410789, 1277462, 1159365, 1328243, 950281]"
11,"[770158, 293849, 854546, 1261541, 263741, 1425216, 942867, 1276372, 1246176, 1367644]"
12,"[657081, 1364840, 1271542, 90350, 873142, 759146, 931896, 1040584, 627548, 1318374]"
13,"[72227, 465952, 1419466, 131328, 717163, 1464593, 210094, 867440, 951325, 832110]"
14,"[705533, 827635, 1061909, 649495, 197786, 1240099, 1270525, 44697, 321563, 1364213]"
15,"[697627, 286725, 655200, 106273, 300540, 145488, 923269, 1041074, 862068, 1133965]"
16,"[362020, 646878, 72728, 387956, 391114, 290011, 280761, 1095675, 999654, 794669]"
17,"[73397, 1311464, 878216, 1135929, 540836, 970952, 744375, 594346, 6551, 1294319]"
18,"[1205501, 1112440, 432683, 982941, 899160, 978418, 1078687, 832709, 1098588, 702519]"
19,"[316676, 189494, 1188242, 1051382, 1381432, 773042, 913457, 1424254, 1346047, 1270264]"
20,"[1076557, 705928, 985145, 1302531, 1297860, 811832, 202502, 941281, 388707, 273714]"
21,"[1402138, 1063632, 128497, 3766, 1240573, 299522, 1002711, 1381200, 1383532, 1073908]"
22,"[401142, 547570, 273020, 388288, 1433841, 262035, 825996, 519059, 1310049, 1154201]"
23,"[950060, 105315, 578092, 606679, 60909, 828458, 37734, 1232021, 92267, 626529]"
24,"[245697, 940907, 208628, 321708, 789111, 1411974, 1311529, 1102986, 1336444, 1082395]"
25,"[609072, 698340, 399228, 866621, 1365003, 264511, 1407488, 1390436, 632231, 30211]"
26,"[89348, 263714, 1464259, 123222, 954953, 1090565, 661235, 1012432, 734150, 160115]"
27,"[766229, 559075, 1257422, 1470014, 1112313, 1254949, 661418, 1275863, 745761, 968056]"
28,"[748577, 584700, 286725, 655200, 145488, 1336503, 697627, 862068, 1021053, 1193360]"
29,"[600403, 1007970, 1400605, 542134, 486127, 1010462, 768633, 1396469, 1283581, 86115]"
30,"[1207273, 58294, 1229398, 1146121, 285048, 245120, 261978, 413040, 1255173, 221810]"
31,"[788757, 482686, 590532, 1005142, 1300797, 655189, 676799, 1073242, 799166, 497256]"
32,"[548976, 1155849, 536630, 202031, 619258, 700964, 584823, 678432, 1109604, 1292387]"
33,"[215187, 1053059, 1330917, 1419514, 584169, 1228676, 504173, 610188, 1190426, 758464]"
34,"[1131391, 491999, 176740, 838084, 468858, 822218, 692474, 767579, 1223278, 619303]"
35,"[500064, 325980, 900482, 172854, 265105, 13637, 47134, 471048, 834135, 905062]"
36,"[826151, 52062, 943367, 550353, 1145478, 545569, 884652, 1040757, 1389303, 1359293]"
37,"[180369, 1421540, 1404793, 1170058, 1430652, 327121, 430716, 1458814, 1290341, 106340]"
38,"[969511, 1069866, 37784, 1224711, 341963, 1362823, 803754, 875669, 504467, 384398]"
39,"[655468, 189470, 128182, 724845, 704893, 162776, 497163, 469458, 963812, 245169]"
40,"[260844, 406748, 888911, 963829, 388280, 1059986, 1343759, 220905, 1245452, 120956]"
41,"[990554, 1424449, 786580, 1417665, 875669, 803754, 1069866, 1362823, 37784, 1423353]"
42,"[273505, 324955, 1011889, 689356, 339061, 815276, 1167893, 111118, 1399475, 424456]"
43,"[487664, 1059986, 387478, 622516, 260844, 406748, 915465, 231093, 597144, 120956]"
44,"[1011892, 885809, 540388, 92612, 685036, 1159847, 188376, 307940, 1377366, 446225]"
45,"[1221273, 558571, 1286286, 119235, 849497, 866211, 614821, 125793, 168926, 1204420]"
46,"[386671, 1278518, 244546, 819631, 985145, 894709, 244488, 537095, 811832, 1302531]"
47,"[1282796, 670361, 256051, 1246176, 1261541, 1367644, 770158, 1276372, 942867, 263741]"
48,"[97923, 1360250, 900284, 186505, 454451, 178198, 649576, 518327, 1263414, 1259212]"
49,"[510997, 1340555, 1366393, 677730, 216481, 382622, 10992, 424575, 1007116, 786083]"
